trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2024-11-27 18:38:19,4745996322265,fraud_Osinski Inc,personal_care,41.57,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,aae10f2174d966ed08f0424f2e3ecb71,1732732699617,42.123831,-87.257973,0
2024-11-27 18:38:22,36721445180895,"fraud_Kerluke, Kertzmann and Wiza",misc_net,1.03,Cesar,Smith,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01,4a3117dd65251d1a5f2e60610550db2f,1732732702999,43.411732,-75.51537,0
2024-11-27 18:38:26,3521417320836166,fraud_Bernier and Sons,kids_pets,28.92,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,1975-11-30,c62f111a27263ece00f947d14259bbe5,1732732706452,39.56158,-86.047527,0
2024-11-27 18:38:31,4570636521433188,fraud_Leannon-Nikolaus,travel,3.62,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,09cb6071c71477297845ddab00210559,1732732711015,29.322636,-81.404778,0
2024-11-27 18:38:38,6011367958204270,fraud_Lebsack and Sons,misc_net,2.76,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,ea781ae8c2610cf47b7683fa0aafdb67,1732732718181,40.802892,-81.913101,0
2024-11-27 18:38:41,4809701904914,"fraud_Roob, Conn and Tremblay",shopping_pos,7.57,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,0ce42f47e1911c9c613b69ba84a3e42f,1732732721579,32.964968,-85.226043,0
2024-11-27 18:38:45,6011504998544485,fraud_Zboncak LLC,food_dining,89.95,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,737aefe7695875fd537c6cb430ef1b93,1732732725027,32.905976,-87.171274,0
2024-11-27 18:38:48,4586810168620942,fraud_Kuhn Group,food_dining,9.85,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,d327a0a6850fc969ed15b1146cac0306,1732732728425,32.060281,-80.934142,0
2024-11-27 18:38:54,4836998673805450,fraud_Boyer PLC,misc_pos,44.54,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,181fa035d9a7e71af99b6a65fa564510,1732732734105,46.538193,-86.087162,0
2024-11-27 18:38:57,4355790796238264643,fraud_Shields-Wunsch,health_fitness,39.8,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,68cf33b7b70e1fb97cfab236b68c7254,1732732737546,40.400397,-91.6029,0
2024-11-27 18:40:07,4103158249977,fraud_Kunze Inc,grocery_pos,99.47,Christopher,Adkins,M,3512 Knight Center,Lorenzo,TX,79343,33.6666,-101.5277,1571,Petroleum engineer,1982-06-27,bb5559bf94d89fd21141c6fd04a4da43,1732732807033,34.510946,-101.905329,0
