id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
75,2020-06-21 12:38:05,180042946491150,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,4.94,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,7402f469a73cf016d793d3111306017b,1371818285,28.669762,-82.456744,False
391,2020-06-21 14:25:59,4710826438164847414,fraud_Powlowski-Weimann,shopping_net,98.94,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,45fb3b175fba365a8e9f938e324ef338,1371824759,49.681365,-109.112169,False
491,2020-06-21 15:02:40,4862293128558,fraud_Ankunding-Carroll,shopping_net,8.72,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1956-09-15,4a2301a36c1f4aa8878a470e18829e5f,1371826960,41.637348,-78.275198,False
460,2020-06-21 14:53:14,5359543825610251,fraud_Wuckert-Goldner,home,88.67,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,98f845094f14ab7c1fe861d5e4e19de6,1371826394,45.033353000000005,-110.733222,False
31,2020-06-21 12:26:10,180048185037117,fraud_Ernser-Feest,home,268.78,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,bc7699cb759a26aa5dd58d4124febf8d,1371817570,40.196876,-74.407686,False
417,2020-06-21 14:34:39,4897067971111209737,fraud_Pacocha-Bauch,shopping_pos,6.65,Randy,Wood,M,542 Howe Mission Apt. 092,Port Richey,FL,34668,28.3011,-82.6927,42619,Environmental education officer,1975-10-07,5035e9c476f3082848e7152521566b01,1371825279,27.352228000000004,-81.706377,False
9,2020-06-21 12:16:11,3546897637165774,fraud_Kilback Group,food_dining,133.08,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,1956-05-30,a7915132c7c4240996ba03a47f81e3bd,1371816971,31.782919,-96.366185,False
65,2020-06-21 12:33:45,4509922033272157,fraud_Pouros-Haag,shopping_pos,15.86,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,1972-03-28,3aedf92246758786b01168d5dc5773b5,1371818025,43.795359000000005,-96.833415,False
238,2020-06-21 13:34:56,4904681492230012,fraud_Streich Ltd,home,133.68,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,a916134dcacd9e6badae25ce9f9e968e,1371821696,41.512745,-73.317596,False
475,2020-06-21 14:58:20,3583293909206278,fraud_Reilly and Sons,grocery_pos,38.06,Deborah,Fisher,F,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1978-09-30,63c4e7a4d49204bf0f35286e8e62c5f0,1371826700,35.861878000000004,-105.587001,False
129,2020-06-21 12:54:55,3513618443244549,fraud_Sporer-Keebler,personal_care,37.0,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,1955-06-26,0adbb8f5d6b042f32f2391d8d349cd66,1371819295,44.398989,-97.772526,False
365,2020-06-21 14:17:20,2712209726293386,fraud_Rau-Robel,kids_pets,78.28,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,55a2db06b595f2bb57b6a25ea00e3869,1371824240,30.775774,-91.905458,False
456,2020-06-21 14:50:15,4906628655840914250,fraud_Brown-Greenholt,entertainment,31.34,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,1987-02-13,859d5e3f41cc40a4b9dcec189d2694d3,1371826215,25.562625,-81.812661,False
439,2020-06-21 14:44:06,4067137330196900,fraud_Stiedemann Inc,misc_pos,25.84,Christina,Eaton,F,3256 Brooks Field,Eldridge,AL,35554,33.9315,-87.6194,1186,Politician's assistant,1986-11-12,994db9e3f86d42649d0e212aaea5b54f,1371825846,33.106770000000004,-86.912578,False
71,2020-06-21 12:36:17,3590736522064285,fraud_Kihn Inc,shopping_net,379.98,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,bb3889edf0a90703cc3e281322e9aef1,1371818177,34.44252,-92.264081,False
477,2020-06-21 14:58:46,4063094974360571498,fraud_Zboncak LLC,food_dining,6.55,Patricia,Mendoza,F,1683 Davidson Freeway,Mendon,UT,84325,41.71,-111.9817,2078,"Scientist, audiological",1963-06-13,c4f64549b485d37f18ef7086500f292c,1371826726,40.756040000000006,-112.027357,False
107,2020-06-21 12:47:21,4191109180926792,fraud_Gottlieb-Hansen,travel,12.64,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,36889cdd6d799ccda86cf3c6509010b1,1371818841,39.66641,-83.56224300000001,False
183,2020-06-21 13:15:53,345060451158891,fraud_Erdman-Ebert,personal_care,102.1,Brian,Perez,M,78652 Scott Ports,Ashfield,MA,1330,42.5232,-72.811,1506,"Production assistant, radio",1960-04-03,2ad013f65673cfecae9888a03ea01f34,1371820553,41.642272,-72.96136899999999,False
290,2020-06-21 13:52:27,4767265376804500,fraud_Ziemann-Waters,health_fitness,393.86,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,1961-06-19,d880af591bf9096498fa4a46a897c6d3,1371822747,39.50289,-74.598794,False
93,2020-06-21 12:43:07,4294040533480516,fraud_Homenick LLC,personal_care,33.6,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413000000000004,-81.69,2206,Biomedical scientist,1986-12-31,1023690403cb70fdd8df519f40fc9d54,1371818587,33.647548,-80.75383000000001,False
