Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
345,2020-06-21 14:10:30,6011104316292105,fraud_Connelly-Carter,home,12.09,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,23d20ce2c80bb62e9f6ce643ea8a3d1c,1371823830,36.365549,-78.335226,0
459,2020-06-21 14:52:51,30501624614310,fraud_O'Keefe-Wisoky,food_dining,38.84,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,19a0825691e23d95c31a24162beea3b8,1371826371,33.437508,-81.52747099999999,0
386,2020-06-21 14:24:59,180084695172649,fraud_Ankunding LLC,shopping_net,98.67,Holly,Mann,F,7644 Joseph Fields,Nokomis,IL,62075,39.3036,-89.2853,3458,Building surveyor,1985-12-08,51fac230026fb45f8c92c2dc49a58ffc,1371824699,39.929746,-89.43789699999999,0
107,2020-06-21 12:47:21,4191109180926792,fraud_Gottlieb-Hansen,personal_care,12.64,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,36889cdd6d799ccda86cf3c6509010b1,1371818841,39.66641,-83.56224300000001,0
44,2020-06-21 12:29:27,375848982312810,fraud_Crona and Sons,kids_pets,30.59,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,5f947d9974aca9e08265898e26db1583,1371817767,32.053228000000004,-97.160999,0
510,2020-06-21 15:07:03,4755696071492,fraud_Rau-Robel,kids_pets,12.05,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,1985-06-20,17704bf1b7bd954249cc360f78592250,1371827223,32.926603,-97.436468,0
58,2020-06-21 12:32:36,2227671554547514,fraud_Bauch-Blanda,entertainment,121.46,Angie,Jones,F,6970 Blake Trail,Clearwater,FL,33760,27.9004,-82.7152,172247,"Geneticist, molecular",1979-10-22,1c819bcf6e07bd61322a1e61e8f0c70f,1371817956,27.482301,-83.200829,0
54,2020-06-21 12:31:19,4116554952971686,"fraud_Denesik, Powlowski and Pouros",home,9.75,Bridget,Bowen,F,49120 Regina Island Apt. 170,Port Saint Lucie,FL,34953,27.2625,-80.3793,181438,Primary school teacher,1934-03-19,a2204915943d2fbb1f700042240502b0,1371817879,26.708918,-79.679105,0
424,2020-06-21 14:36:51,371985236239474,fraud_Nolan-Williamson,kids_pets,8.95,Benjamin,Martin,M,0495 Baker Manors,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",1949-06-09,0a6e2406f3b2513bbffbf7cf8597a6fd,1371825411,43.791043,-74.816291,0
441,2020-06-21 14:44:16,377895991033232,fraud_Greenholt Ltd,health_fitness,34.01,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",1964-11-17,123ed9f1bc2a31d28d355cfa4e7682f5,1371825856,40.73109,-71.73349,0
190,2020-06-21 13:17:40,343746486082492,fraud_Will Ltd,food_dining,45.95,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",1975-10-11,94fb6a21fa403b383ff67b50b10b9ad6,1371820660,45.528331,-85.94878299999999,0
48,2020-06-21 12:29:46,675990301623,"fraud_Armstrong, Walter and Gottlieb",food_dining,4.91,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,def4f0ac7d3e4f02f33462a25632ef6c,1371817786,41.061214,-73.99798100000001,0
49,2020-06-21 12:29:56,377026671291680,fraud_Friesen Ltd,health_fitness,5.36,Jackie,Davis,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,1974-10-27,0920f8e36028f404b48385209a995113,1371817796,38.211238,-90.421871,0
198,2020-06-21 13:20:48,2286236465059468,fraud_Medhurst Inc,home,21.81,Morgan,Murray,F,2788 Brittney Island,Blairstown,MO,64726,38.5319,-93.9221,467,Agricultural consultant,1950-05-27,1dfb39918a5b8c7954335d2958c59db5,1371820848,38.876506,-94.460586,0
482,2020-06-21 15:00:15,30118423745458,fraud_Torp-Lemke,misc_pos,313.38,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,7747,40.4109,-74.238,30770,Drilling engineer,1993-04-29,ecd3cd25db10be244d08d0a9bf1d0ede,1371826815,40.969640000000005,-74.160249,0
114,2020-06-21 12:48:23,3576431665303017,fraud_Berge-Ullrich,home,61.44,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,8ff1723f3c170304d75667e0b38340a9,1371818903,33.914314000000005,-111.576584,0
395,2020-06-21 14:27:06,346273234529002,"fraud_Streich, Rolfson and Wilderman",kids_pets,31.09,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,ce0fdccb3a7a01cc87b2a31ab3151509,1371824826,37.412565,-81.24244200000001,0
330,2020-06-21 14:05:24,6011542681743618,"fraud_Cronin, Kshlerin and Weber",health_fitness,14.59,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,90e7293fa875cf4f29d1f4ff62f332e0,1371823524,39.479997,-79.135724,0
309,2020-06-21 13:59:12,348253506557335,fraud_Lubowitz-Walter,kids_pets,84.17,Thomas,Gibson,M,32745 Silva Springs Suite 040,Grand Bay,AL,36541,30.4983,-88.3282,15647,Armed forces logistics/support/administrative officer,1948-03-22,5e0db46452a842497a380779c59a1e00,1371823152,29.97558,-87.69089100000001,0
331,2020-06-21 14:06:18,4302480582202074,"fraud_Schumm, McLaughlin and Carter",food_dining,49.65,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,baeb5a1762c4f420f193afc0d0757642,1371823578,42.85853,-86.58274300000001,0
329,2020-06-21 14:05:20,4178097073221156,fraud_Kub-Heaney,health_fitness,23.2,Jill,Flores,F,639 Cruz Islands,Baroda,MI,49101,41.9488,-86.4913,3104,"Horticulturist, commercial",1981-03-29,04244ec755a717fb77a88d6c8f875e77,1371823520,41.940846,-86.960874,0
437,2020-06-21 14:43:13,4587657402165341815,fraud_Conroy-Emard,food_dining,6.08,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,2856807e2595d232ec4751b7ccd6cb58,1371825793,41.513909000000005,-87.945399,0
403,2020-06-21 14:30:20,4681601008538160,fraud_Kozey-Boehm,shopping_net,156.72,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,172c9b3576b1fb30e7782397c2688978,1371825020,39.88169,-80.606705,0
416,2020-06-21 14:34:38,4228411452607671,fraud_Carroll PLC,health_fitness,124.73,Aaron,Stewart,M,400 Zuniga Pine,Winthrop,ME,4364,44.3229,-69.9576,6025,Advertising account planner,1995-04-22,5f87d710757caa8ca8092a1bce999c91,1371825278,45.047199,-69.451474,0
462,2020-06-21 14:54:11,4586810168620942,"fraud_Witting, Beer and Ernser",home,148.12,Michelle,Gregory,F,6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408,"Sales professional, IT",1997-07-05,ef92bbb13ac2aa7edfcaf18e1bd5d019,1371826451,32.332915,-79.529226,0
98,2020-06-21 12:44:29,374930071163758,fraud_Klein Group,entertainment,6.98,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,ace32c67fb8d3d030fdddad4649c9dae,1371818669,42.964421,-83.670351,0
304,2020-06-21 13:57:32,4103158249977,fraud_Schaefer Ltd,kids_pets,45.19,Christopher,Adkins,M,3512 Knight Center,Lorenzo,TX,79343,33.6666,-101.5277,1571,Petroleum engineer,1982-06-27,e9fa59dd8ffe82922598ca804bb87bbe,1371823052,33.472934,-100.657705,0
209,2020-06-21 13:24:33,213153151785052,"fraud_Romaguera, Wehner and Tromp",kids_pets,79.56,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,1997-11-23,708764b9c1df3a33646f980ebaeda064,1371821073,46.117649,-90.18511,0
218,2020-06-21 13:27:56,3511058278399773,"fraud_Cole, Hills and Jewess",home,48.44,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1960-01-06,88a696dc470c5276ca8062ed816bd725,1371821276,40.532936,-88.285648,0
25,2020-06-21 12:23:08,6011148190095209,fraud_Leannon-Ward,food_dining,47.06,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,3dfec697170c9155ba76464e03179724,1371817388,38.048242,-123.12568,0
414,2020-06-21 14:33:30,5501083170975659,fraud_Fadel Inc,health_fitness,25.75,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,1966-01-04,598eab1698e379d5a0bfe4f3c5fa2a36,1371825210,42.038811,-80.70387099999999,0
139,2020-06-21 12:58:07,6538441737335434,fraud_Upton PLC,entertainment,48.05,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,abc1f238e28693cfe3728856b2aba429,1371819487,41.928491,-80.00496600000001,0
389,2020-06-21 14:25:44,213178765398315,"fraud_Hintz, Bauch and Smith",health_fitness,189.64,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,2a342ddff1700bbea0aa6cfbc2215c6e,1371824744,43.890405,-108.059406,0
102,2020-06-21 12:46:16,30570197515105,fraud_Hilpert-Conroy,kids_pets,127.76,Vincent,Cain,M,64851 Cole Turnpike,Hartford,AL,36344,31.086,-85.7192,5732,Jewellery designer,1945-12-07,8306d2588665088674d4c93ff87f1748,1371818776,31.361379,-85.084231,0
34,2020-06-21 12:26:25,180065479077096,fraud_Lynch-Wisozk,home,52.81,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,1964-02-15,0ad27a9cf7fcb1e0774a86709cb248f1,1371817585,39.289186,-77.113659,0
428,2020-06-21 14:38:09,38530489946071,fraud_Metz-Boehm,shopping_pos,1881.53,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,29320,34.9572,-81.9916,530,Animal technologist,1989-05-14,4c4841f79d838ed6fe2c9a0f23bfbc50,1371825489,34.709044,-82.585103,0
